id,tweettypes,created_at,user.screen_name,user.name,user.favourites_count,text,lang
899678640014839808,{'retweet'},Mon Aug 21 17:04:37 +0000 2017,AlternativeNRW,Alternative NRW,8316,RT @RhedaPower: Frau @Alice_Weidel Weiter so! Der Tag der Abrechnung für die #Altparteien kommt zur #BtW17 #annewill #AfDwählen #AfD #NRW,de
899678664132096000,{'retweet'},Mon Aug 21 17:04:43 +0000 2017,AlternativeNRW,Alternative NRW,8317,RT @GuidoReil: Wahlkampfauftakt im Essener Norden. Auf der Zeche. Nette Leute in der #AfD!  #TrauDichDeutschland #NRW #Essen… ,de
899678728091033600,{'retweet'},Mon Aug 21 17:04:58 +0000 2017,hessenSPD,SPD Hessen,14572,"RT @spdde: .@MartinSchulz: ""Deutschland kann mehr, wenn wir dieses Land führen!"" #zeitfürmartin https://t.co/MT7rIJOZUA",de
899678743102443520,{'retweet'},Mon Aug 21 17:05:02 +0000 2017,hessenSPD,SPD Hessen,14572,"RT @spdde: .@MartinSchulz: ""Nicht die Würde der Deutschen ist unantastbar, sondern die Würde der Menschen!"" #zeitfürmartin https://t.co/89Z…",de
899678751725936640,{'retweet'},Mon Aug 21 17:05:04 +0000 2017,hessenSPD,SPD Hessen,14573,RT @spdde: .@MartinSchulz: Zukunftsinvestitionen mit der SPD oder Aufrüstung à la Trump mit der Union. Darum geht es am 24.9.! #zeitfürmart…,de
899679137023086594,"{'quote', 'retweet'}",Mon Aug 21 17:06:36 +0000 2017,AlternativeNRW,Alternative NRW,8324,"RT @FDPAussteigerin: Naja, ich glaube eher: Alice #Weidel will die Lage fürs Land verbessern, #Lindner will die Lage für sich persönlich… ",de
899679204215853057,{'retweet'},Mon Aug 21 17:06:52 +0000 2017,AlternativeNRW,Alternative NRW,8327,RT @AfDKoeln: #Köln wird blau! #AfD #Btw17 #TrauDichDeutschland https://t.co/ux9yJWKpQU,de
899679273149239300,{'retweet'},Mon Aug 21 17:07:08 +0000 2017,AlternativeNRW,Alternative NRW,8329,RT @AfDKoeln: #Köln wird blauer. #Wahlkampf #AfD #TrauDichDeutschland #Btw17 https://t.co/O3Xf1XnZwQ,de
899679337884123136,{'retweet'},Mon Aug 21 17:07:24 +0000 2017,anked,anke domscheit-berg,4598,"RT @dieLinke: 10 Punkte für eine digitale Agenda, kurz erklärt von @katjakipping @_juliaschramm @anked @martindelius… ",de
899680570015395840,{'original'},Mon Aug 21 17:12:17 +0000 2017,GrueneSchmeding,Martin Schmeding,160,5.9 Redaktionsgespräch beim #Südkurier mit BaWü-#Sozialminister @ManneLucha und BTKandidat @GrueneSchmeding #BTW17 https://t.co/7gBOh2mDYm,de
899681695099695104,{'original'},Mon Aug 21 17:16:46 +0000 2017,GrueneSchmeding,Martin Schmeding,160,7.9 kommt unsere #Landesvorsitzende @detzer_sandra nach #Konstanz. Wir machen eine Radtour auf die #Reichenau… https://t.co/5TcSChVwMA,de
899682189532692480,{'retweet'},Mon Aug 21 17:18:43 +0000 2017,AlternativeNRW,Alternative NRW,8343,RT @Mundaufmachen: @lawyerberlin @Alice_Weidel Die Benachteiligung der #AfD zeigt: Der Rundfunkbeitrag muss weg! #GEZ #annewill… ,de
899682611479666689,{'reply'},Mon Aug 21 17:20:24 +0000 2017,PaulSch72969276,Paul Schmidt,7201,"@CDU Also etwas, das Ihr in 12 Monaten #Regierungsverantwortung bisher auch nicht 
hinbekommen habt? #BTW17 #fedidwgugl #DankeMerkel",de
899682639183048704,{'retweet'},Mon Aug 21 17:20:31 +0000 2017,mb_hb,Michel Brandt,684,RT @LucyRedler: Großartiges Plakat der Kasseler #linke ! Dürft ihr bestimmt nachahmen ;-) #BTW2017 #BTW17 https://t.co/QS0hBF5v40,de
899682965269217283,"{'quote', 'retweet'}",Mon Aug 21 17:21:48 +0000 2017,AlternativeNRW,Alternative NRW,8357,RT @GuidoReil: +++Teilen!+++ Sei am 18.09. dabei!👍 Jetzt anmelden! ▶️https://t.co/SzP8RujQHk #AfD #NRW #Btw17 #Btw2017 @Schulze_AfD https:/…,de
899682997791850496,{'retweet'},Mon Aug 21 17:21:56 +0000 2017,AlternativeNRW,Alternative NRW,8358,"RT @AfDDuesseldorf: ""#Merkel hat nicht alles falsch gemacht""? 
Doch, hat sie. Der Untersuchungsausschuss wird es klären! 
#AfD #Btw17 
http…",de
899683227895566337,{'retweet'},Mon Aug 21 17:22:51 +0000 2017,PaulSch72969276,Paul Schmidt,7206,RT @Bayernpartei: @CDU Die CDU war die letzte 12 Jahre an keiner Regierung beteiligt ? 😂,de
899683258480373762,{'retweet'},Mon Aug 21 17:22:58 +0000 2017,Gruene_TH,B'90/GRÜNE Thüringen,61,"RT @Die_Gruenen: Je größer die Briefmarke, desto wichtiger die Wahl. ;-)

Alles zum Thema Briefwahl (portofrei) gibt’s unter… ",de
899683637880397824,{'retweet'},Mon Aug 21 17:24:29 +0000 2017,AlternativeNRW,Alternative NRW,8369,"RT @FraukePetry: Wer die illegale Migration wirksam begrenzen will, hat am 24.9. nur eine Wahl – die #AfD.
#TrauDichDeutschland… ",de
899683833725030405,"{'quote', 'retweet'}",Mon Aug 21 17:25:15 +0000 2017,crmkoch,Christian R.M. Lucks,279,"RT @c_lindner: Erhöhung des #Rundfunkbeitrags steht im Raum. Unser Vorschlag: Öffentlich-rechtlichen Rundfunk verschlanken, Rundfu… ",de
899683932496691203,{'retweet'},Mon Aug 21 17:25:39 +0000 2017,PaulSch72969276,Paul Schmidt,7209,RT @Junge_Freiheit: Eine Gruppe von rund zehn nordafrikanisch aussehenden Männern hat ein Mädchen festgehalten und begrapscht. https://t.co…,de
899684991512215552,{'retweet'},Mon Aug 21 17:29:51 +0000 2017,crmkoch,Christian R.M. Lucks,281,"RT @fdp: Mehr gespeicherte Daten schaffen nicht mehr Sicherheit. Sinnvoller ist, Gefährder lückenlos zu überwachen. #BTW17… ",de
899686353654493184,{'original'},Mon Aug 21 17:35:16 +0000 2017,TabeaRoessner,Tabea Rößner,328,Nach dem @aznachrichten - Interview kann ich mich vor Massage-Anfragen kaum noch retten. Schaut selbst. :-) #btw17 https://t.co/T9HLSL1A3x,de
899688034656026627,{'retweet'},Mon Aug 21 17:41:57 +0000 2017,c_lindner,Christian Lindner,8053,RT @WDR_Presse: ✅ Den Kandidatencheck des WDR gibt's ab sofort für die #BTW2017 mit rund 520 Kandidaten aus NRW. Mehr:… ,de
899688232811601924,{'original'},Mon Aug 21 17:42:44 +0000 2017,winklerfdp,Philip Winkler,1,"Hier findet ihr meine Antworten zu den Fragen von Demokratie wagen Gütersloh
https://t.co/yctLvwGytW

#demokratie #btw17 #fdp #gütersloh",de
899688703932739584,{'retweet'},Mon Aug 21 17:44:37 +0000 2017,JFroemmrich,Jürgen Frömmrich,3135,"RT @Die_Gruenen: Je größer die Briefmarke, desto wichtiger die Wahl. ;-)

Alles zum Thema Briefwahl (portofrei) gibt’s unter… ",de
899688715731259393,{'original'},Mon Aug 21 17:44:39 +0000 2017,PaulSch72969276,Paul Schmidt,7210,"Schweizer #Medien erklären deutschen #Medien die #Demokratie u #Meinungsfreiheit Danke!!! #netzDG #BTW17 @ARD @ZDF
https://t.co/WWyLVsF0h0",de
899688753136095232,{'original'},Mon Aug 21 17:44:48 +0000 2017,fdp_nrw,FDP NRW,1092,Der @c_lindner ist am Donnerstag in #Lüdenscheid. Kommt vorbei! #onTour #NRW #BTW17 #DenkenWirNeu https://t.co/pFc49NgLIP,de
899688924880273410,{'original'},Mon Aug 21 17:45:29 +0000 2017,PaulSch72969276,Paul Schmidt,7210,#Silvester in #Köln – Schattenseite des Kulturimports: Phallisch aggressives Verhalten #BTW17 #fedidwgugl https://t.co/ynHliRt2P5 via @NZZ,de
899689354838368256,{'retweet'},Mon Aug 21 17:47:12 +0000 2017,JFroemmrich,Jürgen Frömmrich,3137,"RT @fr: Ein #Edeka-Markt in Hamburg hat am Wochenende eindrucksvoll gezeigt, wie #Rassismus im Supermarktregal aussieht . https://t.co/ADfh…",de
899689564847124483,{'original'},Mon Aug 21 17:48:02 +0000 2017,PaulSch72969276,Paul Schmidt,7210,"Umgang mit der #AfD: Zumutung für Deutschland 
#Demokratie #Hetze #Zensur #BTW17
https://t.co/8hMIUvSbem via @NZZ",de
899690976096264193,{'retweet'},Mon Aug 21 17:53:38 +0000 2017,britterlwalt,Britta Walthelm,73,RT @GruenMeyer: #Grüne wollen Superministerium für #Verbraucherschutz #Dieselgate #Eierskandal #Tierschutz @bmel  https://t.co/nSg1Jzf6n9,de
899691160201023489,{'retweet'},Mon Aug 21 17:54:22 +0000 2017,LieblingXhain,Canan Bayram,5019,"RT @heutejournal: #Afghanistan ist das Land mit den meisten Minen, so Schätzungen. Hunderttausende sind bereits entschärft. Trotzdem… ",de
899692854142009344,{'original'},Mon Aug 21 18:01:06 +0000 2017,PaulSch72969276,Paul Schmidt,7210,"#Merkel #Islam #Islamismus #BTW17 
https://t.co/LraPLkwUyb",und
